c_i, \alpha =  0.10E-08| c_i, \alpha =  0.10E-09| c_i, \alpha =  0.10E-10| c_i, \alpha =  0.10E-11| c_i, \alpha =  0.10E-12| c_i, \alpha =  0.10E-13
  0.384071412343E+00|  0.385612762491E+00|  0.386136380269E+00|  0.386204010573E+00|  0.386228605003E+00|  0.386272709142E+00
  0.312113901407E+00|  0.331799931722E+00|  0.338517238428E+00|  0.339400464425E+00|  0.339833526864E+00|  0.340684454440E+00
 -0.140023311123E+00| -0.757955266716E-01| -0.537610411393E-01| -0.506963738068E-01| -0.479999617525E-01| -0.421131788456E-01
  0.306473072524E-01| -0.680052325542E-02| -0.195571510536E-01| -0.204754978226E-01| -0.154746570879E-01| -0.295871923573E-02
 -0.463616826466E-02|  0.779710544494E-02|  0.120047821488E-01|  0.120352236326E-01|  0.830110717378E-02| -0.876894411297E-03
  0.472447069987E-03| -0.270892048693E-02| -0.377859427541E-02| -0.371717808550E-02| -0.224186712267E-02|  0.134781805500E-02
 -0.899126643769E-05|  0.688599225205E-03|  0.921680999588E-03|  0.893481945044E-03|  0.462215317809E-03| -0.575238649890E-03
 -0.107613851390E-04| -0.148774925016E-03| -0.194589821263E-03| -0.185733703249E-03| -0.755956928962E-04|  0.236627529842E-03
  0.363061150458E-05|  0.290089690545E-04|  0.374231036983E-04|  0.351614589821E-04|  0.158016422130E-04| -0.406811209951E-04
 -0.849436953242E-06| -0.527810420924E-05| -0.687523925981E-05| -0.806029038494E-05| -0.170059265940E-04| -0.204489747755E-03
  0.172035661904E-06|  0.920806209601E-06|  0.118502220397E-05|  0.196884986886E-05|  0.405332875083E-05|  0.102965333343E-03
 -0.286522157992E-07| -0.133494445933E-06| -0.529508040408E-07|  0.118443417495E-05|  0.106562672774E-04|  0.124148224273E-03
