x|P, N =  0|P, N =  1|P, N =  2
  0.850000000000E+00|  0.100000000000E+01|  0.700000000000E+00|  0.235000000000E+00
  0.860000000000E+00|  0.100000000000E+01|  0.720000000000E+00|  0.277600000000E+00
  0.870000000000E+00|  0.100000000000E+01|  0.740000000000E+00|  0.321400000000E+00
  0.880000000000E+00|  0.100000000000E+01|  0.760000000000E+00|  0.366400000000E+00
  0.890000000000E+00|  0.100000000000E+01|  0.780000000000E+00|  0.412600000000E+00
  0.900000000000E+00|  0.100000000000E+01|  0.800000000000E+00|  0.460000000000E+00
  0.910000000000E+00|  0.100000000000E+01|  0.820000000000E+00|  0.508600000000E+00
  0.920000000000E+00|  0.100000000000E+01|  0.840000000000E+00|  0.558400000000E+00
  0.930000000000E+00|  0.100000000000E+01|  0.860000000000E+00|  0.609400000000E+00
  0.940000000000E+00|  0.100000000000E+01|  0.880000000000E+00|  0.661600000000E+00
  0.950000000000E+00|  0.100000000000E+01|  0.900000000000E+00|  0.715000000000E+00
  0.960000000000E+00|  0.100000000000E+01|  0.920000000000E+00|  0.769600000000E+00
  0.970000000000E+00|  0.100000000000E+01|  0.940000000000E+00|  0.825400000000E+00
  0.980000000000E+00|  0.100000000000E+01|  0.960000000000E+00|  0.882400000000E+00
  0.990000000000E+00|  0.100000000000E+01|  0.980000000000E+00|  0.940600000000E+00
  0.100000000000E+01|  0.100000000000E+01|  0.100000000000E+01|  0.100000000000E+01
