c_i, \alpha =  0.10E-08| c_i, \alpha =  0.10E-09| c_i, \alpha =  0.10E-10| c_i, \alpha =  0.10E-11| c_i, \alpha =  0.10E-12| c_i, \alpha =  0.10E-13
  0.384071412363E+00|  0.385612762567E+00|  0.386136380251E+00|  0.386204009942E+00|  0.386228600435E+00|  0.386272646753E+00
  0.312113901652E+00|  0.331799932619E+00|  0.338517237487E+00|  0.339400452055E+00|  0.339833433761E+00|  0.340683119549E+00
 -0.140023310395E+00| -0.757955246034E-01| -0.537610519988E-01| -0.506964578607E-01| -0.480006595739E-01| -0.421240825678E-01
  0.306473064559E-01| -0.680052952921E-02| -0.195571842950E-01| -0.204756336264E-01| -0.154763774072E-01| -0.299183795524E-02
 -0.463616767795E-02|  0.779710697925E-02|  0.120048103841E-01|  0.120356432981E-01|  0.830242521917E-02| -0.873052118291E-03
  0.472447348805E-03| -0.270891311475E-02| -0.377860086902E-02| -0.371693368727E-02| -0.223833063625E-02|  0.145234412240E-02
 -0.899212492590E-05|  0.688594428814E-03|  0.921642110097E-03|  0.893008623180E-03|  0.456766059274E-03| -0.635402166208E-03
 -0.107611494564E-04| -0.148778161188E-03| -0.194588035340E-03| -0.185460893721E-03| -0.727218150126E-04|  0.216958987238E-03
  0.362835434691E-05|  0.289883676310E-04|  0.372660628123E-04|  0.338785634774E-04| -0.980626395168E-06| -0.152427307368E-03
 -0.847266664779E-06| -0.525562357963E-05| -0.668906705566E-05| -0.600099911952E-05|  0.289534389145E-05|  0.891893820977E-05
  0.168667250256E-06|  0.895681514731E-06|  0.112768058133E-05|  0.676768667773E-06| -0.103759914647E-04|  0.328509734165E-04
 -0.294467171634E-07| -0.135248343767E-06| -0.111564069599E-06|  0.433657147968E-06|  0.915354160465E-05|  0.897351697958E-04
  0.349097863380E-08|  0.288891397089E-08| -0.187759896241E-06| -0.991069789691E-06| -0.138738541823E-04| -0.240143680370E-03
 -0.773577232725E-09| -0.216316954280E-08|  0.101670199375E-06|  0.268074485671E-06|  0.464355980834E-05|  0.791669787510E-04
  0.660782496267E-09|  0.101061323411E-07|  0.281082929930E-08|  0.196454685803E-06|  0.805134527363E-06| -0.442108902522E-05
