c_i, \alpha =  0.10E-08| c_i, \alpha =  0.10E-09| c_i, \alpha =  0.10E-10| c_i, \alpha =  0.10E-11| c_i, \alpha =  0.10E-12| c_i, \alpha =  0.10E-13
  0.384071412326E+00|  0.385612762465E+00|  0.386136380327E+00|  0.386204011443E+00|  0.386228607018E+00|  0.386272706346E+00
  0.312113901196E+00|  0.331799931450E+00|  0.338517239864E+00|  0.339400483521E+00|  0.339833577337E+00|  0.340684444245E+00
 -0.140023311740E+00| -0.757955268649E-01| -0.537610286549E-01| -0.506962125463E-01| -0.479994525645E-01| -0.421126207539E-01
  0.306473080800E-01| -0.680051916015E-02| -0.195571158912E-01| -0.204749635366E-01| -0.154724457121E-01| -0.295279410520E-02
 -0.463616823520E-02|  0.779710373368E-02|  0.120047591224E-01|  0.120354925018E-01|  0.830356939060E-02| -0.861069714833E-03
  0.472446803638E-03| -0.270892866911E-02| -0.377866424287E-02| -0.371789438276E-02| -0.224642486260E-02|  0.134693164289E-02
 -0.899118464560E-05|  0.688603690370E-03|  0.921736209708E-03|  0.894010484705E-03|  0.465605711386E-03| -0.536137355932E-03
 -0.107620462724E-04| -0.148778962212E-03| -0.194593580517E-03| -0.186558359443E-03| -0.781047815669E-04|  0.197846275485E-03
  0.363011089752E-05|  0.290073710599E-04|  0.373873024042E-04|  0.358553524331E-04|  0.161607777058E-04| -0.193635920365E-04
 -0.847360118512E-06| -0.526270463540E-05| -0.674595752205E-05| -0.683377280143E-05| -0.733202107776E-05| -0.833693380846E-04
  0.168211604760E-06|  0.899432647301E-06|  0.108866488335E-05|  0.439886861942E-06| -0.613100290372E-05| -0.209266150355E-04
 -0.296611150145E-07| -0.134213959547E-06| -0.236159178980E-07|  0.110660680466E-05|  0.183102064706E-04|  0.148792743845E-03
  0.545385939542E-08|  0.170718191196E-07| -0.586455580604E-07| -0.474096048584E-06| -0.104949918522E-04| -0.105562007272E-03
 -0.141429478587E-08| -0.597605945675E-08| -0.793408978816E-07|  0.572152145526E-06| -0.854704729862E-05| -0.368465183458E-04
 -0.256813870911E-09| -0.185116765801E-08|  0.412260944215E-07| -0.106191178614E-05|  0.414443059559E-05|  0.315780567267E-04
  0.671144160116E-09|  0.596314489801E-08|  0.242111747843E-07|  0.790102896272E-06|  0.619644857850E-05|  0.106663122725E-03
 -0.100228972946E-08| -0.115100828310E-07| -0.124649406414E-06| -0.678679768918E-06| -0.154805301839E-04| -0.168987557099E-03
  0.203891932146E-09|  0.100104581391E-07|  0.423656686194E-07| -0.663416557872E-07|  0.744193970697E-05|  0.512861590448E-04
  0.118650205246E-08|  0.100845640866E-07|  0.160542518925E-06|  0.159476425522E-05|  0.130346861514E-04|  0.195866373566E-03
 -0.131675935180E-08| -0.198024418471E-07| -0.140095308958E-06| -0.196311146232E-05| -0.172707563904E-04| -0.275802304752E-03
