c_i, \alpha =  0.10E-08| c_i, \alpha =  0.10E-09| c_i, \alpha =  0.10E-10| c_i, \alpha =  0.10E-11| c_i, \alpha =  0.10E-12| c_i, \alpha =  0.10E-13
  0.384071412350E+00|  0.385612762513E+00|  0.386136380208E+00|  0.386204009638E+00|  0.386228594429E+00|  0.386272675969E+00
  0.312113901485E+00|  0.331799931921E+00|  0.338517237191E+00|  0.339400447306E+00|  0.339833331346E+00|  0.340683877470E+00
 -0.140023310900E+00| -0.757955268162E-01| -0.537610491542E-01| -0.506964768833E-01| -0.480011744287E-01| -0.421161338851E-01
  0.306473070869E-01| -0.680052652415E-02| -0.195571562490E-01| -0.204755848124E-01| -0.154760388588E-01| -0.295577269708E-02
 -0.463616734267E-02|  0.779711240806E-02|  0.120048465582E-01|  0.120359158689E-01|  0.830780132189E-02| -0.830613214755E-03
  0.472446616986E-03| -0.270892323668E-02| -0.377865495198E-02| -0.371723688926E-02| -0.224293546661E-02|  0.136964564250E-02
 -0.899150139757E-05|  0.688595019515E-03|  0.921716644848E-03|  0.893619303797E-03|  0.461300075989E-03| -0.583456853869E-03
 -0.107616410411E-04| -0.148774408520E-03| -0.194609847260E-03| -0.186079442294E-03| -0.761056354983E-04|  0.194574101915E-03
  0.362989293554E-05|  0.290015057198E-04|  0.373956566342E-04|  0.355660453909E-04|  0.133753559655E-04| -0.561002903162E-05
 -0.847196672207E-06| -0.526161661122E-05| -0.669248109611E-05| -0.686265215959E-05| -0.127452454318E-05| -0.220254953472E-04
  0.168122917416E-06|  0.897247714089E-06|  0.107705639843E-05|  0.103310700606E-05| -0.589786423103E-05| -0.145920248192E-04
 -0.320179772689E-07| -0.161911747865E-06| -0.310519278466E-06| -0.162509265824E-05| -0.152881696962E-04| -0.148220473527E-03
  0.621363858526E-08|  0.302620987278E-07|  0.685003254990E-07| -0.197019218459E-06|  0.405719477156E-05|  0.167094201811E-04
 -0.895546616146E-09| -0.354706414614E-08|  0.333102680168E-07|  0.813092939830E-06| -0.828366879310E-06|  0.104174182574E-03
 -0.936131777332E-09| -0.370340416012E-08| -0.578825628838E-07| -0.460029488143E-06| -0.914345729326E-05| -0.131438338560E-03
  0.117793623594E-08|  0.755973192698E-08|  0.332996107397E-07|  0.397147462321E-06|  0.101500957256E-04|  0.221814208815E-04
 -0.459803894490E-09| -0.806313355114E-09| -0.319726785970E-07| -0.168830072366E-06| -0.132247885441E-05| -0.154362683151E-04
 -0.438449192441E-09| -0.570531836412E-08| -0.110490270976E-06| -0.208472037474E-06| -0.778847028846E-05| -0.768946567104E-04
